726 images
  [GRAPH] 25 branches traced, 88/88 nodes assigned, 0 orphans, 84 edges, 8 components
  [GRAPH] 18 branches traced, 119/119 nodes assigned, 0 orphans, 118 edges, 4 components
  [GRAPH] 17 branches traced, 26/26 nodes assigned, 0 orphans, 24 edges, 5 components
  [GRAPH] 16 branches traced, 126/126 nodes assigned, 0 orphans, 124 edges, 4 components
  [GRAPH] 6 branches traced, 6/6 nodes assigned, 0 orphans, 6 edges, 1 components
  [GRAPH] 9 branches traced, 112/112 nodes assigned, 0 orphans, 109 edges, 4 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 5 branches traced, 108/108 nodes assigned, 0 orphans, 105 edges, 3 components
  [GRAPH] 15 branches traced, 117/117 nodes assigned, 0 orphans, 116 edges, 3 components
  [GRAPH] 5 branches traced, 108/108 nodes assigned, 0 orphans, 105 edges, 3 components
  [GRAPH] 15 branches traced, 117/117 nodes assigned, 0 orphans, 116 edges, 3 components
  [GRAPH] 4 branches traced, 77/77 nodes assigned, 0 orphans, 75 edges, 2 components
  [GRAPH] 727 branches traced, 435/435 nodes assigned, 0 orphans, 734 edges, 6 components
  [GRAPH] 1144 branches traced, 688/688 nodes assigned, 0 orphans, 1163 edges, 15 components
  [GRAPH] 1322 branches traced, 816/816 nodes assigned, 0 orphans, 1331 edges, 22 components
  [GRAPH] 19 branches traced, 186/186 nodes assigned, 0 orphans, 188 edges, 4 components
  [GRAPH] 22 branches traced, 137/137 nodes assigned, 0 orphans, 139 edges, 4 components
  [GRAPH] 40 branches traced, 136/136 nodes assigned, 0 orphans, 145 edges, 4 components
  [GRAPH] 20 branches traced, 134/134 nodes assigned, 0 orphans, 136 edges, 4 components
  [GRAPH] 9 branches traced, 113/113 nodes assigned, 0 orphans, 110 edges, 4 components
  [GRAPH] 17 branches traced, 72/78 nodes assigned, 6 orphans, 67 edges, 12 components
  [GRAPH] 4 branches traced, 108/108 nodes assigned, 0 orphans, 104 edges, 4 components
  [GRAPH] 7 branches traced, 8/9 nodes assigned, 1 orphans, 8 edges, 2 components
  [GRAPH] 16 branches traced, 116/116 nodes assigned, 0 orphans, 116 edges, 4 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 4 branches traced, 111/111 nodes assigned, 0 orphans, 107 edges, 4 components
  [GRAPH] 21 branches traced, 118/118 nodes assigned, 0 orphans, 121 edges, 3 components
  [GRAPH] 21 branches traced, 118/118 nodes assigned, 0 orphans, 121 edges, 3 components
  [GRAPH] 11 branches traced, 111/111 nodes assigned, 0 orphans, 111 edges, 3 components
  [GRAPH] 11 branches traced, 111/111 nodes assigned, 0 orphans, 111 edges, 3 components
  [GRAPH] 10 branches traced, 88/88 nodes assigned, 0 orphans, 89 edges, 2 components
  [GRAPH] 802 branches traced, 471/471 nodes assigned, 0 orphans, 809 edges, 6 components
  [GRAPH] 1326 branches traced, 759/759 nodes assigned, 0 orphans, 1336 edges, 8 components
  [GRAPH] 1244 branches traced, 763/763 nodes assigned, 0 orphans, 1261 edges, 22 components
  [GRAPH] 10 branches traced, 187/187 nodes assigned, 0 orphans, 183 edges, 5 components
  [GRAPH] 10 branches traced, 129/129 nodes assigned, 0 orphans, 125 edges, 5 components
  [GRAPH] 10 branches traced, 139/139 nodes assigned, 0 orphans, 135 edges, 5 components
  [GRAPH] 17 branches traced, 138/138 nodes assigned, 0 orphans, 137 edges, 5 components
