model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
clean_base,7798,SEG,5,0.851880276285495,0.9173553719008265,0.9226932668329177,,4,4,202.8944443027283,226.13708498984758,5.7373602585151735,5.633015600099264,4,10,0,4,0,2,0.0,0.875
clean_base,7798,GRAPH7,0,0.851880276285495,0.9173553719008265,0.9226932668329177,141.0,4,4,205.5,234.79393923933998,5.735015421794787,5.558169408425073,6,15,1,6,0,2,0.0,0.7999999999999999
clean_base,7798,GRAPH7,5,0.851880276285495,0.9173553719008265,0.9226932668329177,141.0,4,4,203.0,226.13708498984758,5.7286732471863475,5.633015600099264,4,10,0,4,0,2,0.0,0.875
clean_base,7888,SEG,0,0.9061561561561562,0.9526440410418311,0.9488993710691824,,4,4,225.8650070512054,233.03657992645924,5.845143146072173,5.6635460160971185,6,10,1,3,0,1,0.5,0.8421052631578948
clean_base,7888,SEG,5,0.9061561561561562,0.9526440410418311,0.9488993710691824,,4,4,225.8650070512054,224.20815280171308,5.845143146072173,5.7604123890995576,6,7,1,2,0,1,0.6666666666666666,0.823529411764706
clean_base,7888,GRAPH7,0,0.9061561561561562,0.9526440410418311,0.9488993710691824,148.0,4,4,226.0,233.03657992645924,5.86158018991423,5.6635460160971185,6,10,1,3,0,1,0.5,0.8421052631578948
clean_base,7888,GRAPH7,5,0.9061561561561562,0.9526440410418311,0.9488993710691824,148.0,4,4,226.0,224.20815280171308,5.86158018991423,5.7604123890995576,6,7,1,2,0,1,0.6666666666666666,0.823529411764706
clean_base,7735,SEG,0,0.8714368819080861,0.9128580134064594,0.950507614213198,,5,5,278.58073580374355,291.99494936611666,6.048295936487083,5.537265974169817,11,17,3,6,0,0,0.4444444444444444,0.7586206896551724
clean_base,7735,SEG,5,0.8714368819080861,0.9128580134064594,0.950507614213198,,5,5,278.58073580374355,277.3380951166243,6.048295936487083,5.623988836706239,11,9,3,2,0,0,0.8,0.8
clean_base,7735,GRAPH7,0,0.8714368819080861,0.9128580134064594,0.950507614213198,195.0,5,5,278.5,291.99494936611666,5.988460016611483,5.537265974169817,11,17,3,6,0,0,0.4444444444444444,0.7586206896551724
clean_base,7735,GRAPH7,5,0.8714368819080861,0.9128580134064594,0.950507614213198,195.0,5,5,278.5,277.3380951166243,5.988460016611483,5.623988836706239,11,9,3,2,0,0,0.8,0.8
clean_base,7873,SEG,0,0.8761061946902655,0.9213197969543148,0.9469565217391305,,4,4,208.99494936611669,226.48023074035527,5.557841480611978,5.371432724021488,10,14,3,5,0,0,0.7499999999999999,0.8333333333333333
clean_base,7873,SEG,5,0.8761061946902655,0.9213197969543148,0.9469565217391305,,4,4,204.58073580374355,213.40916292848976,5.5642421270406555,5.370536294046389,8,8,2,2,0,0,1.0,0.9
clean_base,7873,GRAPH7,0,0.8761061946902655,0.9213197969543148,0.9469565217391305,152.0,4,4,209.25,226.48023074035527,5.559496939922635,5.371432724021488,10,14,3,5,0,0,0.7499999999999999,0.8333333333333333
clean_base,7873,GRAPH7,5,0.8761061946902655,0.9213197969543148,0.9469565217391305,152.0,4,4,204.75,213.40916292848976,5.562025566196881,5.370536294046389,8,8,2,2,0,0,1.0,0.9
clean_base,7261,SEG,0,0.8407687028140014,0.8844765342960289,0.9444872783346183,,4,5,278.2497833620557,268.69343417595167,5.311725947201349,4.869921511280367,15,9,6,2,1,0,0.5,0.8333333333333334
clean_base,7261,SEG,5,0.8407687028140014,0.8844765342960289,0.9444872783346183,,4,5,271.4213562373095,268.69343417595167,5.289952334938084,4.869921511280367,11,9,4,2,1,0,0.3333333333333333,0.8181818181818182
clean_base,7261,GRAPH7,0,0.8407687028140014,0.8844765342960289,0.9444872783346183,210.0,4,5,278.5,268.69343417595167,5.316652972097939,4.869921511280367,15,9,6,2,1,0,0.5,0.8333333333333334
clean_base,7261,GRAPH7,5,0.8407687028140014,0.8844765342960289,0.9444872783346183,210.0,4,5,271.75,268.69343417595167,5.299679310871302,4.869921511280367,11,9,4,2,1,0,0.3333333333333333,0.8181818181818182
clean_base,7825,SEG,0,0.8177655677655677,0.8885572139303483,0.9112244897959184,,4,4,188.78174593052017,197.7817459305202,5.412370650394386,4.935335177145496,4,12,0,4,0,0,0.0,0.7000000000000001
clean_base,7825,SEG,5,0.8177655677655677,0.8885572139303483,0.9112244897959184,,4,4,188.78174593052017,192.95331880577402,5.412370650394386,4.975177822565123,4,6,0,1,0,0,0.0,0.823529411764706
clean_base,7825,GRAPH7,0,0.8177655677655677,0.8885572139303483,0.9112244897959184,126.0,4,4,188.5,197.7817459305202,5.415823829641601,4.935335177145496,4,12,0,4,0,0,0.0,0.7000000000000001
clean_base,7825,GRAPH7,5,0.8177655677655677,0.8885572139303483,0.9112244897959184,126.0,4,4,188.5,192.95331880577402,5.415823829641601,4.975177822565123,4,6,0,1,0,0,0.0,0.823529411764706
clean_base,7351,SEG,0,0.8475247524752475,0.9039070749736009,0.9314472252448314,,5,4,164.95331880577402,182.0243866176395,5.637899448328851,5.135732620835719,7,8,1,2,0,1,0.6666666666666666,0.7999999999999999
