nohup: ignoring input
  [GRAPH] 18 branches traced, 144/144 nodes assigned, 0 orphans, 145 edges, 4 components
  [GRAPH] 11 branches traced, 193/193 nodes assigned, 0 orphans, 190 edges, 4 components
  [GRAPH] 11 branches traced, 129/129 nodes assigned, 0 orphans, 128 edges, 4 components
  [GRAPH] 30 branches traced, 186/186 nodes assigned, 0 orphans, 190 edges, 4 components
  [GRAPH] 16 branches traced, 197/197 nodes assigned, 0 orphans, 196 edges, 4 components
  [GRAPH] 6 branches traced, 38/38 nodes assigned, 0 orphans, 36 edges, 3 components
  [GRAPH] 6 branches traced, 37/37 nodes assigned, 0 orphans, 35 edges, 3 components
  [GRAPH] 16 branches traced, 174/174 nodes assigned, 0 orphans, 173 edges, 4 components
  [GRAPH] 32 branches traced, 228/228 nodes assigned, 0 orphans, 231 edges, 4 components
  [GRAPH] 5 branches traced, 115/115 nodes assigned, 0 orphans, 111 edges, 4 components
  [GRAPH] 13 branches traced, 163/163 nodes assigned, 0 orphans, 159 edges, 6 components
  [GRAPH] 19 branches traced, 215/215 nodes assigned, 0 orphans, 215 edges, 5 components
  [GRAPH] 12 branches traced, 163/163 nodes assigned, 0 orphans, 159 edges, 6 components
  [GRAPH] 6 branches traced, 171/171 nodes assigned, 0 orphans, 165 edges, 6 components
  [GRAPH] 45 branches traced, 187/187 nodes assigned, 0 orphans, 197 edges, 5 components
  [GRAPH] 23 branches traced, 163/163 nodes assigned, 0 orphans, 163 edges, 5 components
  [GRAPH] 18 branches traced, 155/155 nodes assigned, 0 orphans, 155 edges, 4 components
  [GRAPH] 11 branches traced, 163/163 nodes assigned, 0 orphans, 162 edges, 4 components
  [GRAPH] 40 branches traced, 185/185 nodes assigned, 0 orphans, 190 edges, 4 components
  [GRAPH] 16 branches traced, 182/182 nodes assigned, 0 orphans, 181 edges, 4 components
  [GRAPH] 29 branches traced, 156/156 nodes assigned, 0 orphans, 160 edges, 4 components
  300/726
  [GRAPH] 5 branches traced, 140/140 nodes assigned, 0 orphans, 135 edges, 5 components
  [GRAPH] 13 branches traced, 167/167 nodes assigned, 0 orphans, 164 edges, 5 components
