filename,fg_psnr_with,fg_psnr_without,fg_ssim_with,fg_ssim_without,full_psnr_with,full_psnr_without,bytes_with,bytes_without
7596,28.761800780719202,14.058824254679054,0.9983636982486259,0.9628196531328646,31.00457776114798,14.613919616294353,2558,1652
7597,28.68141254163454,14.3589309328087,0.9988319256966699,0.9720946766995525,31.257771260155312,14.991070383410133,2271,1445
7598,29.66957747046155,15.447510820499687,0.9985370842442343,0.9695797311093037,31.628994406240295,15.587548521260786,2007,1291
7599,27.783708389272736,11.421051278008372,0.9992404054328967,0.9598434700218317,31.217421419586717,15.202022520214793,2677,1683
7601,29.575764892616192,15.354448437901272,0.998558509532533,0.9631558480825099,31.808234183321314,16.019767140380676,2298,1546
7602,28.521718254707395,13.04960625371573,0.9987372940182246,0.9730129790734889,30.660806433557973,13.609226688274658,1998,1224
7603,27.734885501293896,11.736176149548408,0.9991840879017585,0.9641046089734169,30.23381447324344,13.255604784176128,2630,1624
7604,27.810293211379978,12.246486717203481,0.9991933691329344,0.9654772484685521,31.54455677511148,15.676182346829567,2387,1521
7605,29.02608385184177,13.284886255232271,0.9993265288730749,0.9712625975555855,30.85615408977295,14.064406638241735,2007,1383
7606,27.426377075618625,9.83294772613474,0.999542410680328,0.9676963160928244,30.478736081583495,13.329666222651955,2306,1457
7607,27.573177296677915,10.053160956012,0.9995551113557175,0.966724172786501,30.44376185621015,13.760492950909573,2183,1383
7608,28.266391489520615,12.99613561050153,0.9985887818384352,0.961750251544601,30.704070210053473,13.924174133562515,2614,1663
7609,27.921540082318135,11.711745686126294,0.9993704117914669,0.9695646974569756,31.25505541350984,14.900920374664228,2147,1339
7610,27.701819756400162,12.292489713013982,0.9984955882114164,0.9629327010158545,30.225983413256333,12.971860872590955,2673,1634
7611,28.39078001701661,12.280557545512798,0.9993194988472727,0.9662572252176846,30.199573024697703,12.813145491675442,2397,1582
7612,27.341937365208025,9.946877847626778,0.9995346040982237,0.9673426555880391,30.53466567738028,13.770383915507654,2231,1366
7613,27.67579968065914,11.519138982183135,0.9992935819256664,0.9659562092371585,30.41822781849621,13.533162626266602,2574,1658
7614,27.501561868928334,10.70551056276646,0.9994049230002603,0.967698905794306,31.180417896023584,14.843406878224494,2359,1489
7616,28.413366700897594,12.487105064849626,0.9992417724784273,0.9702554378099156,31.36351619625213,15.451674276601153,2113,1356
7617,27.480081940015722,10.780454314865127,0.9995839015512159,0.9785882800915222,30.265048680652722,12.637022883003217,1721,1052
7619,27.821282124119833,12.246343947916536,0.9993085384299064,0.9729690298287397,31.37817197942836,15.284486101935093,2127,1324
7620,28.455792961218602,12.338731421435071,0.9991798440185709,0.9610494067108519,31.260635847026403,15.054776554317773,2416,1542
7621,27.302792062728102,10.948229321418602,0.9993373461742106,0.9717201291756343,30.16548589532123,12.642544932294511,2115,1282
7622,28.175331535143975,12.082466071057032,0.9990569614229307,0.973398521862166,30.3070872056996,12.945738412637414,2023,1246
7623,27.13848555670403,9.979920716895395,0.9995378495971879,0.9679893723135551,31.406570827321296,15.203156573431645,2188,1346
7624,28.445161860260267,12.343564055924546,0.999225414128219,0.9726169855227013,30.738221751553397,13.864013162317686,1973,1281
7625,28.617419652388314,13.666652251306399,0.9988699597813726,0.9639094262990424,30.538952523069,13.46853011031217,2307,1484
7626,26.997756757365593,9.972464431607792,0.9994804324036669,0.9681276531029531,30.528952256619032,13.62313665785748,2135,1317
7627,27.293269998037758,10.234602444763254,0.999606846405421,0.9766111330059332,30.79611617368691,13.982760508413882,1866,1127
7628,28.19816267063775,11.699124446266715,0.9995543656824716,0.9733843599250934,31.52804426748656,15.465642325850567,1892,1252
7629,27.896658047373577,10.408161574664202,0.9996016608315361,0.9727245888622077,31.368318332359202,15.056658795745175,1975,1236
7630,28.144423868474803,11.903060399756228,0.9994059172850026,0.9740087095962741,31.67954804214353,15.668898951020804,1986,1274
7631,28.066124556011363,11.775696674913686,0.9993994413070143,0.9685644150509124,30.650054628775205,13.853999287574743,2244,1449
7632,29.005009177346565,14.810956162861634,0.9987754189587451,0.9702648027382393,31.567334653447805,15.588713350377246,2172,1399
7633,28.09050645246096,10.652327992134285,0.9995520914814812,0.9695734754943995,30.53355163440928,13.651319399731602,2022,1254
7634,28.759321548230634,13.826862250900724,0.9991483625778628,0.9703369283973282,31.005954112900515,14.268428455694247,2141,1411
7635,27.997092419096873,12.787876662925708,0.9989645777677677,0.9698637038687311,30.368001699697142,13.126543876532406,2313,1469
7636,28.70743334576118,12.309044852370208,0.9993911724950171,0.9693439894347902,31.18785702931602,14.73388914789744,2010,1273
7637,28.60769059622235,13.873870558003762,0.9985159713241938,0.9684230400947951,31.014593774868445,14.452487239292488,2191,1396
7638,28.032090291398376,11.498649663874641,0.9993396572128579,0.9666003665915497,30.04733256822798,12.630562154272951,2301,1486
7639,28.66502201868251,13.775866929049476,0.9981335318710434,0.9622752699162289,31.147070654174087,15.123715810340958,2543,1586
7640,27.194812811523082,9.918059235635411,0.9996432872237195,0.9780112352864107,31.279268645527853,14.691120807090838,1710,1045
7641,27.999824424133173,12.609440608119783,0.9992387944449515,0.9703269396300982,30.952543230563606,14.389587960505692,2107,1323
7642,27.91741218561873,11.159622882467062,0.9995265367928573,0.9752206327750543,30.154516572098146,12.634676748064495,1835,1150
7643,27.801075905361934,10.2879783734159,0.9996481176726175,0.9735551914054575,30.309511910429066,12.766829725750231,1842,1204
7644,28.094693450981417,12.749924662508842,0.9988256096009193,0.968248481458797,30.20556789938315,12.840674364115994,2258,1407
7645,26.99145517452228,10.52259763358001,0.9994303470433868,0.9711545516790396,30.73700905696129,14.29358470564126,2404,1463
7646,28.21752773974716,12.52526442519642,0.9990659311151204,0.9629728931772482,30.47995103062005,13.865992143215799,2963,1944
7647,27.753273452244393,11.296581938664252,0.9994322496136829,0.9683824662484402,31.069777243762942,14.510180386009782,2173,1403
7648,28.11393913831868,12.378246352759504,0.9990504783861627,0.9686959528281789,30.16357637104411,12.672864663676425,2269,1443
7649,27.398323242702798,11.162529430032697,0.9992918359292259,0.9710698977555517,30.18651274255374,12.648522284794371,2143,1406
7650,27.590178402912503,13.435945969820786,0.9992561489663151,0.9860938351247361,28.992924968313034,14.635042000049214,1376,837
7651,28.484698567206344,12.883160986775732,0.9989802220213895,0.9743112789293338,30.829944372358646,13.91876572672091,1996,1236
