stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M2_018_y0x0,0.072012,0.159983,0.115796,0.411509,379,1990,2894
M2_018_y0x256,0.195490,0.410035,0.271994,0.411948,1855,2669,4965
M2_018_y0x512,0.240198,0.434317,0.349558,0.480782,1501,1955,2793
M2_018_y256x0,0.088390,0.148481,0.179253,0.307177,826,4737,3782
M2_018_y256x256,0.186516,0.444195,0.243296,0.505107,1978,2475,6152
M2_018_y512x256,0.067776,0.167172,0.102326,0.270056,717,3572,6290
M2_018_y512x512,0.045865,0.091170,0.084498,0.152096,127,1266,1376
M2_019_y0x512,0.085126,0.109276,0.278075,0.170652,364,2967,945
M2_019_y256x256,0.348814,0.621661,0.442818,0.644749,2118,1289,2665
M2_019_y512x256,0.258564,0.496396,0.350509,0.498304,2204,2236,4084
M2_019_y512x512,0.461191,0.718156,0.563113,0.718156,2757,1082,2139
M2_020_y256x256,0.278439,0.425465,0.446213,0.470508,3111,4201,3861
M2_020_y256x512,0.348570,0.589164,0.460501,0.631428,4850,3382,5682
M2_020_y512x512,0.321334,0.589868,0.413782,0.633696,2678,1862,3794
