stem,segmenter,iou_cpu_gpu,pixels_differ,segGPU_t100_n_components,segGPU_t100_total_length_px,segGPU_t100_mean_width_px,segGPU_t100_n_branches,segGPU_t100_n_junctions,segGPU_t100_cycle_rank,segGPU_degree5_n_components,segGPU_degree5_total_length_px,segGPU_degree5_mean_width_px,segGPU_degree5_n_branches,segGPU_degree5_n_junctions,segGPU_degree5_cycle_rank
7399,Learned,1.0,0,5,276.24978336205567,5.870633704521337,15,6,2,5,263.5929291125633,5.862654805230696,9,3,2
7400,Learned,1.0,0,5,226.92388155425115,5.51426909351397,7,1,0,5,226.92388155425115,5.51426909351397,7,1,0
7401,Learned,1.0,0,4,160.46803743153546,7.2284559845893,8,2,0,4,152.05382386916236,7.1840422375656265,4,0,0
7402,Learned,1.0,0,4,299.90663761154804,6.0282825088810625,8,2,0,4,299.90663761154804,6.0282825088810625,8,2,0
7403,Learned,1.0,0,4,179.4386001800126,6.771643052701132,4,0,0,4,179.4386001800126,6.771643052701132,4,0,0
7404,Learned,1.0,0,4,297.1076477383248,6.749865787214989,12,4,0,4,291.27922061357856,6.758696602207336,8,2,0
7405,Learned,1.0,0,4,129.6396103067893,6.390049910954367,6,1,0,4,123.81118318204311,6.451883925099935,4,0,0
7406,Learned,1.0,0,4,279.9655121145938,5.757279447491025,12,4,0,4,275.5512985522207,5.72909385715842,10,3,0
7407,Learned,1.0,0,4,283.52186130069776,5.858958326397004,8,2,0,4,280.1076477383247,5.830086937926117,6,1,0
7408,Learned,1.0,0,5,205.5096679918781,6.087830868967156,11,3,0,5,199.6812408671319,6.095870005122034,9,2,0
7410,Learned,1.0,0,4,225.68124086713186,6.262446446080618,6,1,0,4,225.68124086713186,6.262446446080618,6,1,0
7411,Learned,1.0,0,5,301.20815280171297,4.736585492386455,11,3,0,5,301.20815280171297,4.736585492386455,11,3,0
7412,Learned,1.0,0,5,284.86500705120545,5.109070887205579,11,3,0,5,282.45079348883235,5.076219299481017,9,2,0
7413,Learned,0.9993164730006835,1,5,228.37972567696687,6.253000489214118,9,2,0,5,223.9655121145938,6.212253847420117,7,1,0
7414,Learned,1.0,0,5,289.93607486307087,6.364623376777454,7,1,0,5,289.93607486307087,6.364623376777454,7,1,0
7415,Learned,1.0,0,4,230.78174593052023,5.434667487506615,10,3,0,4,223.7817459305202,5.428404340676405,6,1,0
7416,Learned,1.0,0,4,208.7523086789974,6.538099996548941,13,5,1,4,203.3380951166243,6.549453953090743,9,3,1
7417,Learned,1.0,0,4,175.09545442950497,6.163861676036841,8,2,0,4,171.68124086713186,6.181198154038514,6,1,0
7418,Learned,1.0,0,4,300.634559672906,5.889390718602605,11,3,0,4,295.8061325481598,5.884237694931425,10,3,0
7419,Learned,1.0,0,5,188.50966799187808,5.240485051164832,9,2,0,5,183.09545442950503,5.236091101260691,7,1,0
7420,Learned,1.0,0,5,203.7228714274745,5.696888573868779,5,0,0,5,203.7228714274745,5.696888573868779,5,0,0
7421,Learned,1.0,0,5,272.2081528017131,7.1554198237766675,11,3,0,5,272.2081528017131,7.1554198237766675,11,3,0
7422,Learned,0.9994131455399061,1,5,282.9360748630709,6.045014487264528,9,2,0,5,282.9360748630709,6.045014487264528,9,2,0
7423,Learned,1.0,0,4,343.9777054234135,6.797896434660648,14,5,1,4,330.3208511739211,6.84356238171418,11,4,1
7424,Learned,1.0,0,4,269.2792206135785,6.078047565220151,15,6,2,4,264.86500705120545,6.041155842931019,11,4,2
7425,Learned,1.0,0,4,299.5929291125633,6.274528498633039,20,9,2,4,297.5929291125633,6.225690961517238,18,8,2
7426,Learned,1.0,0,4,288.19090885900994,5.679951433592153,8,2,0,4,288.19090885900994,5.679951433592153,8,2,0
7427,Learned,1.0,0,4,180.50966799187805,5.711222013926616,4,0,0,4,180.50966799187805,5.711222013926616,4,0,0
7428,Learned,1.0,0,4,145.84062043356596,6.2219180710183375,6,1,0,4,145.84062043356596,6.2219180710183375,6,1,0
7429,Learned,1.0,0,4,309.8061325481597,6.38350346784822,11,4,1,4,304.9777054234135,6.37883740931379,9,3,1
7430,Learned,1.0,0,4,103.91168824543142,7.406236184157996,6,1,0,4,100.08326112068524,7.419731666041569,4,0,0
7431,Learned,1.0,0,6,191.53910524340094,5.954572577792136,8,1,0,6,191.53910524340094,5.954572577792136,8,1,0
7432,Learned,1.0,0,5,311.2497833620557,5.7022158296053735,10,3,1,5,311.2497833620557,5.7022158296053735,10,3,1
7433,Learned,1.0,0,6,260.7350647362942,5.403272119394591,6,0,0,6,260.7350647362942,5.403272119394591,6,0,0
7435,Learned,1.0,0,5,263.06601717798213,5.653413482547968,26,11,1,5,252.82337649086284,5.680689394593111,18,7,1
