    junction_def   L       descriptor    arm    n       ccc      mdape   bias_pct    wilcoxon_p  wins_graph  wins_jpeg
jpeg_bytes_mean                                                          2147.774825
jpeg_bytes_median                                                             2151.0
raw_bytes_mean                                                               65536.0
raw_bytes_median                                                             65536.0
png_bytes_mean                                                          45371.683196
png_bytes_median                                                             45398.0
ref_s_median                                                                0.004431
graph_s_median                                                              0.004887
jpeg_s_median                                                               0.279289
ref_skeleton_skan_s_median                                                  0.003399
ref_descriptors_s_median                                                    0.000988
graph_decode_graph_s_median                                                 0.004081
graph_descriptors_s_median                                                    0.0008
jpeg_decode_s_median                                                        0.000163
jpeg_segment_s_median                                                       0.273824
jpeg_skeleton_skan_s_median                                                 0.003664
jpeg_descriptors_s_median                                                   0.001084
ratio_jpeg_over_graph                                                      57.145824
ratio_ref_over_graph                                                        0.906651
ratio_jpeg_nosegment_over_graph                                             1.021359
cpu                                         Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz
python                                                                        3.11.3
threads                            OMP/MKL/OPENBLAS_NUM_THREADS=1, torch.set_num_...
