stem,segmenter,n_misaligned,payload_bytes,jpeg_bytes,jpeg_quality,raw_bytes,png_bytes,arm,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,time_s
7261,Learned,0,2319,2319.0,27.0,65536,45701,REF,5,268.69343417595167,4.869921511280367,9,2,0,2,12,0,0.0043684260454028845
7261,Learned,0,2319,2319.0,27.0,65536,45701,GRAPH,5,253.45733799754515,5.197883709736292,10,3,1,13,11,0,0.005252097966149449
7261,Learned,0,2319,2319.0,27.0,65536,45701,JPEG,4,302.6345596729059,5.522719273854903,15,6,1,6,12,0,0.2696893810061738
7261,Learned,0,2319,2319.0,27.0,65536,45701,PRE,5,257.4213562373095,5.231082620656143,10,3,1,13,11,0,
7261,Learned,0,2319,2319.0,27.0,65536,45701,GRAPH_TAGGED,5,253.45733799754515,5.197883709736292,10,3,1,13,11,0,
7261,Learned,0,2319,2319.0,27.0,65536,45701,SEG,5,275.24978336205567,5.272512442702805,12,4,1,4,12,0,
7262,Learned,153,2204,2146.0,30.0,65536,44541,REF,4,251.52186130069785,6.644469226198,15,5,0,6,14,0,0.004491000901907682
7262,Learned,153,2204,2146.0,30.0,65536,44541,GRAPH,4,210.88428866711172,6.549665615336114,7,1,0,6,10,0,0.004612109041772783
7262,Learned,153,2204,2146.0,30.0,65536,44541,JPEG,5,235.03657992645924,6.733085446132185,10,2,0,3,13,0,0.27013943705242127
7262,Learned,153,2204,2146.0,30.0,65536,44541,PRE,4,214.20815280171308,6.609923929387458,7,1,0,6,10,0,
7262,Learned,153,2204,2146.0,30.0,65536,44541,GRAPH_TAGGED,4,6101.306232076997,7.253678354705007,7,1,0,6,10,0,
7262,Learned,153,2204,2146.0,30.0,65536,44541,SEG,5,226.45079348883237,6.585889879759534,11,3,0,3,13,0,
7263,Learned,0,2230,2211.0,29.0,65536,44795,REF,5,234.2792206135785,5.359713201742064,16,6,2,7,13,0,0.0041755459969863296
7263,Learned,0,2230,2211.0,29.0,65536,44795,GRAPH,4,213.1457016585948,5.510385567215332,6,1,0,4,9,0,0.004665114916861057
7263,Learned,0,2230,2211.0,29.0,65536,44795,JPEG,4,224.96551211459376,5.616677659526075,8,2,0,2,10,0,0.2848133340012282
7263,Learned,0,2230,2211.0,29.0,65536,44795,PRE,4,215.96551211459376,5.537538371426304,6,1,0,4,9,0,
7263,Learned,0,2230,2211.0,29.0,65536,44795,GRAPH_TAGGED,4,213.1457016585948,5.510385567215332,6,1,0,4,9,0,
7263,Learned,0,2230,2211.0,29.0,65536,44795,SEG,4,225.79393923933995,5.640586429472759,8,2,0,2,10,0,
7264,Learned,0,1927,1812.0,25.0,65536,44597,REF,4,204.12489168102786,4.880126028236516,8,2,0,2,10,0,0.0040613970486447215
7264,Learned,0,1927,1812.0,25.0,65536,44597,GRAPH,4,176.89489735219112,5.582739467153108,8,2,0,6,10,0,0.004169851075857878
7264,Learned,0,1927,1812.0,25.0,65536,44597,JPEG,4,192.6101730552664,5.777432498309992,8,2,0,2,10,0,0.2701361950021237
7264,Learned,0,1927,1812.0,25.0,65536,44597,PRE,4,181.71067811865476,5.6106269753714315,8,2,0,6,10,0,
7264,Learned,0,1927,1812.0,25.0,65536,44597,GRAPH_TAGGED,4,176.89489735219112,5.582739467153108,8,2,0,6,10,0,
7264,Learned,0,1927,1812.0,25.0,65536,44597,SEG,4,185.71067811865476,5.765900838417637,8,2,0,2,10,0,
7265,Learned,0,2160,2078.0,25.0,65536,45603,REF,5,229.37972567696684,5.861842558275677,5,0,0,0,10,0,0.0042015110375359654
7265,Learned,0,2160,2078.0,25.0,65536,45603,GRAPH,5,228.8601750176413,5.705277835726004,5,0,0,0,10,0,0.004932385985739529
7265,Learned,0,2160,2078.0,25.0,65536,45603,JPEG,5,294.0365799264593,5.778531357010955,13,4,1,5,13,0,0.2702723299153149
