stem,segmenter,ref_s,graph_s,jpeg_s,ref_skeleton_skan_s,ref_descriptors_s,graph_decode_graph_s,graph_descriptors_s,jpeg_decode_s,jpeg_segment_s,jpeg_skeleton_skan_s,jpeg_descriptors_s
7562,Learned,0.004429454915225506,0.004779913928359747,0.2803477169945836,0.003383728093467653,0.001034220913425088,0.003988403012044728,0.0007897310424596071,0.0001655620289966464,0.2749753500102088,0.004120057099498808,0.001059334957972169
7563,Learned,0.004262171103619039,0.004864268004894257,0.27492728899233043,0.003358340007252991,0.0008882430847734213,0.0040948360692709684,0.0007660059491172433,0.00015622505452483892,0.2689835459459573,0.004042929038405418,0.0017237639985978603
7564,Learned,0.004734418005682528,0.00562337099108845,0.27057372499257326,0.0035383449867367744,0.001184036023914814,0.0046900310553610325,0.0009315620409324765,0.0001756800338625908,0.26541413296945393,0.0037096840096637607,0.001253571012057364
7565,Learned,0.004546177922748029,0.00541240896563977,0.2811231380328536,0.003351573017425835,0.0011817379854619503,0.004521043971180916,0.0008895199280232191,0.00016800104640424252,0.2759843149688095,0.00379797606728971,0.0011531279888004065
7566,Learned,0.004032053053379059,0.003984802053309977,0.27702580497134477,0.0032254100078716874,0.0007943130331113935,0.0033572049578651786,0.0006258259527385235,0.00015626894310116768,0.27230767195578665,0.0035581319825723767,0.000982895027846098
7567,Learned,0.0045739880297333,0.005558817996643484,0.26950119400862604,0.0033591730752959847,0.0012015169486403465,0.004646548070013523,0.0009105209028348327,0.00017165602184832096,0.2645966289564967,0.003581833094358444,0.001132531906478107
7568,Learned,0.00437155703548342,0.004181807045824826,0.27817405003588647,0.0034864089684560895,0.0008732820861041546,0.0034982420038431883,0.0006816800450906157,0.00015566300135105848,0.2731643000151962,0.003771553048864007,0.0010639940155670047
7569,Learned,0.004735484020784497,0.004915883997455239,0.2682641460560262,0.003550320048816502,0.0011733389692381024,0.0040819080313667655,0.0008323979564011097,0.0029642590088769794,0.26060813304502517,0.0036089280620217323,0.0010629179887473583
7570,Learned,0.004928642068989575,0.0058369600446894765,0.266893225023523,0.0035838589537888765,0.00133246008772403,0.004881268017925322,0.0009534399723634124,0.00017919100355356932,0.26152993901632726,0.0038732440443709493,0.0012902129674330354
7571,Learned,0.004293151083402336,0.005084551987238228,0.26608189998660237,0.0032864899840205908,0.0009939039591699839,0.004241390968672931,0.0008411889430135489,0.0001789679517969489,0.26136344904080033,0.0034977300092577934,0.0010213940404355526
7573,Frangi,0.0051963391015306115,0.001490390975959599,,0.0038215459790080786,0.0013620350509881973,0.0012493180111050606,0.00023868889547884464,,,,
7574,Learned,0.004191224928945303,0.0038101659156382084,0.2704324000515044,0.0033272530417889357,0.0008535119704902172,0.0032254839316010475,0.0005827590357512236,0.00015063199680298567,0.26585527206771076,0.0036163789918646216,0.0007925910176709294
7575,Learned,0.004485724028199911,0.005163253052160144,0.26534970896318555,0.003425974980928004,0.001048173988237977,0.0043255280470475554,0.0008355319732800126,0.00016926403623074293,0.2602558439830318,0.00379691191483289,0.001105981064029038
7576,Learned,0.004464164027012885,0.005212823976762593,0.27307171700522304,0.0034259420353919268,0.001025532023049891,0.0043819589773193,0.0008291850099340081,0.0001768410438671708,0.26832542300689965,0.0035200190031901,0.001028078026138246
7577,Learned,0.004201779025606811,0.004815202904865146,0.2656616709427908,0.0032344339415431023,0.0009555260185152292,0.004034240962937474,0.0007789479568600655,0.00016107200644910336,0.2609898989321664,0.003533579991199076,0.0009585369843989611
