stem,ref_width,dt_none,profile_none,dt_dilate1,profile_dilate1,dt_dilate2,profile_dilate2,dt_erode1,profile_erode1
7458,4.445441105468683,4.677249252521411,5.951034884529045,6.7671290782960165,5.807090045188078,9.151266678894942,6.164151708955494,3.01169947251517,5.481732429725955
7467,5.555227447311261,5.3316220420586875,5.547219964200375,7.055636023175519,5.655513809573294,8.967701653519246,6.613220500055818,3.711389352123974,5.926972721265543
7469,6.548844337993695,6.781113762349184,7.309813605471252,8.580432724757502,8.01267367103823,10.41608424321926,8.441049410416174,5.093136325055073,7.187948717761385
7471,5.420983871490147,5.665204098896992,6.341971607817565,7.4422313862110085,6.898449027471945,9.372466297755642,7.0097136369774296,4.035249151494805,6.059130240138301
7475,6.1279145238174,5.89627056027846,5.843526606882823,7.739495412516178,5.837440922999034,9.493368444808306,5.798767119790361,4.229523681932825,5.797619275340967
7481,5.803759581623667,5.546356160589537,5.613597544266019,7.630676529062663,6.081165604273237,9.375058580583188,6.3162245527514855,4.188673279184246,6.55625588550805
7487,5.928035030470717,6.439974691629916,7.795567146067189,8.276077740683043,8.565462702945785,9.565306307128445,7.4796504634552505,4.898629280727965,7.203719475310031
7491,5.87627078191505,6.14853935078454,7.3165294584003,7.9140293005057645,7.027068540461988,9.693188376255513,7.018180798067325,4.551006754751248,7.026379436549806
7493,4.961979505649622,5.155199395851966,5.718676121545482,6.976537442975038,5.609569904152385,8.723088482533896,5.953546622762052,3.495712899209893,4.6784305391393115
7497,4.625195126988333,4.96171612764637,4.959859596731956,6.543519916432577,4.986304299839497,8.88185947887918,5.3362627288034385,3.2300985021791235,4.773525438181723
7499,5.513670926581324,5.7629507589775075,6.371064730408562,7.688899449793399,6.112308777590079,9.740765984161522,7.159414101144872,4.126643544062181,6.324296678359261
7505,5.365729154789246,5.909890129381933,6.106741283743552,7.607716794329461,6.33536963300175,9.327698730640353,6.340405717922134,4.27233288061141,5.992992683630223
7511,5.7441451049417465,5.995143118552828,6.534051553568667,7.756394947779752,6.46108642944468,9.505144312410307,6.3124941663631455,4.460035241909783,6.412826024083066
7517,6.913208022143014,7.6089467760816305,8.129449379925456,9.233035058731918,8.816232462352572,11.276891505016993,9.219511040073385,6.056128095239206,8.605871297908275
7528,6.847096856179329,7.25699051064123,8.881779625650717,9.148826539500796,11.141043512455772,11.440874674949109,9.507211109995048,5.61920511218142,8.693125282153314
7531,5.366326381595198,5.938421344925758,6.364178877718912,7.825468267793517,7.7179847954632,9.9658715605443,8.66679543415691,4.375322052875975,6.341454417367081
7540,5.2803612603028,5.866833995963502,5.646913246591817,7.625278241491239,6.158531173791885,9.091352649870332,5.635420338681238,4.249816685043562,6.098848274978377
7547,5.0644439162938415,5.166206774310017,5.844265940472182,6.869890450574691,5.442461603182277,8.6719545756784,5.947415835174817,3.4838315126920683,5.856213734199539
7554,6.619873360099869,6.743013021319626,8.021486430167235,8.45051739542033,8.745742795699046,10.165353171081035,8.32023478022328,5.136544652101966,8.528305414035263
7555,7.243450798908452,7.59752157636831,7.667100261134298,9.376785813423181,7.690547225747195,11.222379055203314,9.33360114738367,5.89409761207423,7.831972813560166
7569,5.938183616941285,6.02723701598334,7.224878232103225,7.775379668251828,7.220625451220891,9.223248267290124,7.0680776662848865,4.4845106576338365,6.934704805264741
7575,5.337057924831664,5.559819794039906,8.538482911912174,7.38195936073389,8.548543210568543,9.710988828785949,7.750739427399621,3.866568300247727,6.565144477749631
7577,5.5198738206606865,5.392705886007598,5.957309608306038,7.207623086028855,6.063411380650329,9.1439046906937,6.264111452130864,3.7076088855626175,5.541270647999707
7583,5.963728737201305,5.790738262181581,7.50863678939041,7.552670768679339,7.7510155808069445,9.838814370777497,10.619218609716214,4.1054430104735316,6.802758578806368
7588,4.789763400681806,4.925902853416354,4.512824528912255,6.56170573102671,4.46024208900531,8.269454792212757,4.6958108333189745,3.263643424044247,4.7282785575737165
7592,6.323279072812605,6.407334237926406,6.3410322018560255,7.929176069552742,6.664297961678132,10.044089871855162,8.095636033717716,4.772228394750566,7.8116719149611455
