stem,junction_def,L,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles
7396,t10,0,4,243.13708498984755,5.171566109668596,17,7,1,7,13,0
7396,degree,0,4,243.13708498984755,5.171566109668596,17,7,1,7,13,0
7396,degree,2,4,239.72287142747447,5.207381479874013,11,4,1,7,13,0
7396,degree,5,4,233.8944443027283,5.203304555913837,9,3,1,7,13,0
7396,degree,10,4,233.8944443027283,5.203304555913837,9,3,1,7,13,0
7407,t10,0,4,287.1076477383247,5.651433015595562,14,5,0,5,13,0
7407,degree,0,4,287.1076477383247,5.651433015595562,14,5,0,5,13,0
7407,degree,2,4,287.1076477383247,5.651433015595562,14,5,0,5,13,0
7407,degree,5,4,276.69343417595167,5.646029439435715,6,1,0,5,13,0
7407,degree,10,4,270.86500705120545,5.671711467729111,6,1,0,5,13,0
7412,t10,0,5,292.76450198781714,5.088762580594328,14,4,0,5,15,0
7412,degree,0,5,292.76450198781714,5.088762580594328,14,4,0,5,15,0
7412,degree,2,5,292.76450198781714,5.088762580594328,14,4,0,5,15,0
7412,degree,5,5,280.9360748630709,5.0586200689753404,8,1,0,5,15,0
7412,degree,10,5,280.9360748630709,5.0586200689753404,8,1,0,5,15,0
7416,t10,0,5,216.92388155425118,6.15401359312993,14,5,1,5,13,0
7416,degree,0,5,216.92388155425118,6.15401359312993,14,5,1,5,13,0
7416,degree,2,5,216.92388155425118,6.15401359312993,14,5,1,5,13,0
7416,degree,5,5,207.095454429505,6.165945537687246,10,3,1,5,13,0
7416,degree,10,5,198.6812408671319,6.200185904587758,8,2,1,5,13,0
7418,t10,0,4,325.2914139223983,5.936543391707426,16,6,2,8,12,0
7418,degree,0,4,325.2914139223983,5.936543391707426,16,6,2,8,12,0
7418,degree,2,4,325.2914139223983,5.936543391707426,16,6,2,8,12,0
7418,degree,5,4,322.87720036002526,5.950491903737898,15,6,2,8,12,0
7418,degree,10,4,310.22034611053283,5.945137314011647,12,5,2,8,12,0
7421,t10,0,6,287.1787155501902,6.85534498236975,14,4,0,4,16,0
7421,degree,0,6,287.1787155501902,6.85534498236975,14,4,0,4,16,0
7421,degree,2,6,285.76450198781714,6.856581181029127,12,3,0,4,16,0
7421,degree,5,6,273.6934341759516,6.9100575455299005,10,2,0,4,16,0
7421,degree,10,6,273.6934341759516,6.9100575455299005,10,2,0,4,16,0
7423,t10,0,4,356.4629867976519,6.626209834021083,20,8,0,8,16,0
7423,degree,0,4,356.4629867976519,6.626209834021083,20,8,0,8,16,0
7423,degree,2,4,354.048773235279,6.622699359971068,16,6,0,8,16,0
7423,degree,5,4,338.9777054234135,6.665281599775273,10,3,0,8,16,0
7423,degree,10,4,320.49242404917493,6.632196431848277,6,1,0,8,16,0
7432,t10,0,5,327.73506473629436,5.32569761678772,14,5,1,5,13,0
7432,degree,0,5,327.73506473629436,5.32569761678772,14,5,1,5,13,0
7432,degree,2,5,327.73506473629436,5.32569761678772,14,5,1,5,13,0
7432,degree,5,5,321.90663761154815,5.326668452892068,10,3,1,5,13,0
7432,degree,10,5,321.90663761154815,5.326668452892068,10,3,1,5,13,0
7434,t10,0,4,219.5096679918781,5.234020882718466,6,1,0,1,9,0
7434,degree,0,4,219.5096679918781,5.234020882718466,6,1,0,1,9,0
7434,degree,2,4,219.5096679918781,5.234020882718466,6,1,0,1,9,0
7434,degree,5,4,219.5096679918781,5.234020882718466,6,1,0,1,9,0
7434,degree,10,4,219.5096679918781,5.234020882718466,6,1,0,1,9,0
7440,t10,0,5,294.42135623730945,5.1878438816363825,11,3,1,4,12,0
7440,degree,0,5,294.42135623730945,5.1878438816363825,11,3,1,4,12,0
7440,degree,2,5,294.42135623730945,5.1878438816363825,11,3,1,4,12,0
7440,degree,5,5,286.59292911256324,5.245336908035301,8,2,1,4,12,0
7440,degree,10,5,286.59292911256324,5.245336908035301,8,2,1,4,12,0
7458,t10,0,4,312.936074863071,4.4591719669863545,13,5,1,5,11,0
7458,degree,0,4,312.936074863071,4.4591719669863545,13,5,1,5,11,0
7458,degree,2,4,312.936074863071,4.4591719669863545,13,5,1,5,11,0
7458,degree,5,4,310.5218613006979,4.445441105468683,11,4,1,5,11,0
7458,degree,10,4,292.86500705120545,4.439748503415164,8,2,1,5,11,0
7467,t10,0,5,305.63455967290594,5.53787958837403,13,4,0,4,14,0
7467,degree,0,5,305.63455967290594,5.53787958837403,13,4,0,4,14,0
7467,degree,2,5,305.63455967290594,5.53787958837403,13,4,0,4,14,0
7467,degree,5,5,298.8061325481597,5.555227447311261,11,3,0,4,14,0
7467,degree,10,5,298.8061325481597,5.555227447311261,11,3,0,4,14,0
7469,t10,0,4,222.3797256769669,6.5148839930900335,12,4,0,4,12,0
7469,degree,0,4,222.3797256769669,6.5148839930900335,12,4,0,4,12,0
7469,degree,2,4,220.96551211459376,6.490638901518482,10,3,0,4,12,0
7469,degree,5,4,214.1370849898476,6.548844337993695,8,2,0,4,12,0
7469,degree,10,4,197.82337649086284,6.427521775013632,6,1,0,4,12,0
7471,t10,0,5,312.3502884254441,5.44794681644254,15,5,0,5,15,0
7471,degree,0,5,312.3502884254441,5.44794681644254,15,5,0,5,15,0
7471,degree,2,5,310.936074863071,5.453458738609536,13,4,0,5,15,0
7471,degree,5,5,297.86500705120545,5.420983871490147,9,2,0,5,15,0
7471,degree,10,5,297.86500705120545,5.420983871490147,9,2,0,5,15,0
7475,t10,0,4,212.0660171779821,6.073441622684935,10,3,0,3,11,0
7475,degree,0,4,212.0660171779821,6.073441622684935,10,3,0,3,11,0
7475,degree,2,4,212.0660171779821,6.073441622684935,10,3,0,3,11,0
7475,degree,5,4,194.1665222413704,6.1279145238174,4,0,0,3,11,0
7475,degree,10,4,194.1665222413704,6.1279145238174,4,0,0,3,11,0
7481,t10,0,4,253.27922061357853,5.770256517517343,13,4,0,5,13,0
7481,degree,0,4,253.27922061357853,5.770256517517343,13,4,0,5,13,0
7481,degree,2,4,253.27922061357853,5.770256517517343,13,4,0,5,13,0
7481,degree,5,4,241.03657992645927,5.803759581623667,9,2,0,5,13,0
7481,degree,10,4,231.62236636408613,5.876053592643012,8,2,0,5,13,0
7487,t10,0,4,322.26197667087536,5.888620937848602,18,7,1,8,14,0
7487,degree,0,4,322.26197667087536,5.888620937848602,18,7,1,8,14,0
7487,degree,2,4,320.84776310850225,5.8888281090605785,16,6,1,8,14,0
7487,degree,5,4,312.60512242138304,5.928035030470717,13,5,1,8,14,0
7487,degree,10,4,274.29141392239825,6.050209974145971,7,2,1,8,14,0
7491,t10,0,5,311.73506473629425,5.786471601673173,24,10,1,10,18,0
7491,degree,0,5,311.73506473629425,5.786471601673173,24,10,1,10,18,0
7491,degree,2,5,310.7350647362943,5.7973241202531565,22,9,1,10,18,0
7491,degree,5,5,287.8355697996826,5.87627078191505,10,3,1,10,18,0
7491,degree,10,5,273.1787155501902,5.939738208447413,8,2,1,10,18,0
7493,t10,0,4,180.9949493661166,4.944130197503872,6,1,0,1,9,0
7493,degree,0,4,180.9949493661166,4.944130197503872,6,1,0,1,9,0
7493,degree,2,4,179.58073580374352,4.949654487610457,4,0,0,1,9,0
7493,degree,5,4,176.16652224137044,4.961979505649622,4,0,0,1,9,0
7493,degree,10,4,176.16652224137044,4.961979505649622,4,0,0,1,9,0
7497,t10,0,5,235.99494936611669,4.625195126988333,11,3,0,3,13,0
7497,degree,0,5,235.99494936611669,4.625195126988333,11,3,0,3,13,0
7497,degree,2,5,235.99494936611669,4.625195126988333,11,3,0,3,13,0
7497,degree,5,5,235.99494936611669,4.625195126988333,11,3,0,3,13,0
7497,degree,10,5,220.75230867899737,4.58333376228463,7,1,0,3,13,0
7499,t10,0,4,209.06601717798208,5.423860296707117,8,2,0,2,10,0
