setting,param,value,junction_def,L,n,payload_bytes,fg_psnr,n_points,n_components_bias_pct,n_components_ccc,n_components_mdape,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape
bridge=off,graph.bridge_gaps,False,t10,0,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-12.386330509443468,0.6035302720279335,9.818899518914865,3.2157981989719495,0.7474831369416559,2.8397424630674877,-41.87946884576098,0.27372968771876693,40.0,-55.40334855403349,0.33550095055345314,57.14285714285714,-48.10126582278482,0.45788575444232515,50.0
bridge=off,graph.bridge_gaps,False,degree,0,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-12.386330509443468,0.6035302720279336,9.818899518914865,3.2157981989719504,0.7474831369416561,2.8397424630674957,-45.250255362614915,0.24050277687205013,44.94949494949495,-68.34094368340944,0.25617251002699276,71.42857142857143,-48.10126582278482,0.45788575444232515,50.0
bridge=off,graph.bridge_gaps,False,degree,2,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-12.003717878324805,0.6093140091403575,9.146090511193226,3.1038629857776483,0.748818018674158,2.834729310397404,-38.03468208092486,0.30146458877284593,36.36363636363637,-62.11293260473588,0.3204087500829444,66.66666666666666,-48.10126582278482,0.45788575444232515,50.0
bridge=off,graph.bridge_gaps,False,degree,5,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-9.227214463468746,0.6632705259064915,6.708271597875287,2.5596036367142925,0.7648168432856973,2.60072361672875,-18.007662835249043,0.6204885162231135,14.285714285714285,-40.0,0.5856156227673256,46.42857142857143,-48.10126582278482,0.45788575444232515,50.0
bridge=off,graph.bridge_gaps,False,degree,10,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-8.651593255700591,0.6735887119182248,5.571552508971231,2.3937439433073524,0.7725933105223389,2.439782436153243,-17.429577464788732,0.615466567231759,11.11111111111111,-43.346007604562736,0.5875343721356553,50.0,-48.10126582278482,0.45788575444232515,50.0
bridge_max_gap=6.0,graph.bridge_max_gap,6.0,t10,0,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-12.386330509443471,0.6035302720279339,9.818899518914865,3.215798198971949,0.7474831369416561,2.8397424630674877,-41.87946884576098,0.2737296877187668,40.0,-55.40334855403349,0.335500950553453,57.14285714285714,-48.10126582278482,0.4578857544423251,50.0
bridge_max_gap=6.0,graph.bridge_max_gap,6.0,degree,0,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-12.386330509443468,0.6035302720279339,9.818899518914865,3.21579819897195,0.7474831369416561,2.8397424630674957,-45.250255362614915,0.24050277687205007,44.94949494949495,-68.34094368340944,0.25617251002699276,71.42857142857143,-48.10126582278482,0.4578857544423251,50.0
bridge_max_gap=6.0,graph.bridge_max_gap,6.0,degree,2,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-12.003717878324801,0.6093140091403573,9.146090511193226,3.1038629857776483,0.7488180186741579,2.834729310397404,-38.03468208092486,0.30146458877284593,36.36363636363637,-62.11293260473588,0.3204087500829443,66.66666666666666,-48.10126582278482,0.4578857544423251,50.0
bridge_max_gap=6.0,graph.bridge_max_gap,6.0,degree,5,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-9.227214463468746,0.6632705259064919,6.708271597875287,2.559603636714292,0.7648168432856973,2.60072361672875,-18.007662835249043,0.6204885162231135,14.285714285714285,-40.0,0.5856156227673255,46.42857142857143,-48.10126582278482,0.4578857544423251,50.0
bridge_max_gap=6.0,graph.bridge_max_gap,6.0,degree,10,150,2203.26,28.077548520152607,278.74666666666667,-1.9259259259259263,0.7401574803149606,0.0,-8.651593255700591,0.6735887119182246,5.571552508971231,2.3937439433073524,0.7725933105223388,2.439782436153243,-17.429577464788732,0.615466567231759,11.11111111111111,-43.346007604562736,0.5875343721356553,50.0,-48.10126582278482,0.4578857544423251,50.0
bridge_max_gap=20.0,graph.bridge_max_gap,20.0,t10,0,150,2203.3133333333335,28.077548520152607,278.74666666666667,-2.2222222222222223,0.7360000000000001,0.0,-12.277628956381509,0.6118820698998522,9.818899518914865,3.0008653676221018,0.810464231513472,2.8397424630674877,-41.981613891726255,0.2745194073711277,40.833333333333336,-55.40334855403349,0.335500950553453,57.14285714285714,-48.10126582278482,0.4578857544423252,50.0
bridge_max_gap=20.0,graph.bridge_max_gap,20.0,degree,0,150,2203.3133333333335,28.077548520152607,278.74666666666667,-2.2222222222222223,0.7360000000000001,0.0,-12.277628956381509,0.6118820698998522,9.818899518914865,3.0008653676221018,0.8104642315134722,2.8397424630674957,-45.35240040858019,0.24134853611103713,44.94949494949495,-68.34094368340944,0.2561725100269927,71.42857142857143,-48.10126582278482,0.4578857544423252,50.0
bridge_max_gap=20.0,graph.bridge_max_gap,20.0,degree,2,150,2203.3133333333335,28.077548520152607,278.74666666666667,-2.2222222222222223,0.7360000000000001,0.0,-11.894541620944832,0.6178333579240044,9.146090511193226,2.8891632442524156,0.812147870163501,2.834729310397404,-38.150289017341045,0.3024177163754573,36.36363636363637,-62.11293260473588,0.3204087500829443,66.66666666666666,-48.10126582278482,0.4578857544423252,50.0
bridge_max_gap=20.0,graph.bridge_max_gap,20.0,degree,5,150,2203.3133333333335,28.077548520152607,278.74666666666667,-2.2222222222222223,0.7360000000000001,0.0,-9.114579411616344,0.6726054884183523,6.708271597875287,2.3460283590206905,0.8271335413837579,2.60072361672875,-18.160919540229887,0.6210747697439991,14.835164835164836,-40.0,0.5856156227673256,46.42857142857143,-48.10126582278482,0.4578857544423252,50.0
bridge_max_gap=20.0,graph.bridge_max_gap,20.0,degree,10,150,2203.3133333333335,28.077548520152607,278.74666666666667,-2.2222222222222223,0.7360000000000001,0.0,-8.53615158328877,0.6828224810684806,5.475162723367803,2.180085849011453,0.8363696405318001,2.439782436153243,-17.6056338028169,0.6174331253229461,11.11111111111111,-43.346007604562736,0.5875343721356553,50.0,-48.10126582278482,0.4578857544423252,50.0
min_component_nodes=0,graph.min_component_nodes,0,t10,0,150,2203.286666666667,28.077548520152607,278.74666666666667,-1.6296296296296295,0.743801652892562,0.0,-12.341953497877915,0.606397711942247,9.741638754330516,3.153226416725696,0.7656377474492991,2.8397424630674877,-41.7773237997957,0.27937011928258815,39.642857142857146,-55.40334855403349,0.33550095055345314,57.14285714285714,-48.10126582278482,0.4578857544423251,50.0
min_component_nodes=0,graph.min_component_nodes,0,degree,0,150,2203.286666666667,28.077548520152607,278.74666666666667,-1.6296296296296295,0.743801652892562,0.0,-12.341953497877915,0.606397711942247,9.741638754330516,3.153226416725696,0.765637747449299,2.8397424630674957,-45.14811031664965,0.24579346220538184,44.44444444444444,-68.34094368340944,0.25617251002699276,71.42857142857143,-48.10126582278482,0.4578857544423251,50.0
min_component_nodes=0,graph.min_component_nodes,0,degree,2,150,2203.286666666667,28.077548520152607,278.74666666666667,-1.6296296296296295,0.743801652892562,0.0,-11.959147070457202,0.6122031397507646,9.135318666224949,3.041359061222832,0.7670567389743305,2.834729310397404,-37.91907514450867,0.30846502511331614,36.36363636363637,-62.11293260473588,0.32040875008294434,66.66666666666666,-48.10126582278482,0.4578857544423251,50.0
min_component_nodes=0,graph.min_component_nodes,0,degree,5,150,2203.286666666667,28.077548520152607,278.74666666666667,-1.6296296296296295,0.743801652892562,0.0,-9.181231615405004,0.6661938993391215,6.678944694783135,2.4974270688763385,0.7828445379036114,2.60072361672875,-17.8544061302682,0.6335783421876137,13.392857142857142,-40.0,0.5856156227673256,46.42857142857143,-48.10126582278482,0.4578857544423251,50.0
min_component_nodes=0,graph.min_component_nodes,0,degree,10,150,2203.286666666667,28.077548520152607,278.74666666666667,-1.6296296296296295,0.743801652892562,0.0,-8.604464615055994,0.6763490413152621,5.427553792509409,2.331302626082841,0.7909989959796755,2.439782436153243,-17.253521126760564,0.6317610272104319,11.11111111111111,-43.346007604562736,0.5875343721356553,50.0,-48.10126582278482,0.4578857544423251,50.0
min_component_nodes=6,graph.min_component_nodes,6,t10,0,150,2203.16,28.077548520152614,278.74666666666667,-2.814814814814815,0.6524822695035459,0.0,-12.474467871863268,0.5954591277675118,9.818899518914865,3.349840670504684,0.7008358120217768,2.8397424630674877,-42.18590398365679,0.26848810984054133,40.0,-55.40334855403349,0.3355009505534531,57.14285714285714,-48.10126582278482,0.4578857544423252,50.0
min_component_nodes=6,graph.min_component_nodes,6,degree,0,150,2203.16,28.077548520152614,278.74666666666667,-2.814814814814815,0.6524822695035459,0.0,-12.474467871863268,0.5954591277675118,9.818899518914865,3.349840670504684,0.7008358120217768,2.8397424630674957,-45.556690500510726,0.2359349331104121,44.94949494949495,-68.34094368340944,0.2561725100269928,71.42857142857143,-48.10126582278482,0.4578857544423252,50.0
min_component_nodes=6,graph.min_component_nodes,6,degree,2,150,2203.16,28.077548520152614,278.74666666666667,-2.814814814814815,0.6524822695035459,0.0,-12.09224014036508,0.6011291796420914,9.184782063039915,3.2377600912628406,0.7019342600188786,2.834729310397404,-38.381502890173415,0.29435930483114164,36.36363636363637,-62.11293260473588,0.32040875008294445,66.66666666666666,-48.10126582278482,0.4578857544423252,50.0
min_component_nodes=6,graph.min_component_nodes,6,degree,5,150,2203.16,28.077548520152614,278.74666666666667,-2.814814814814815,0.6524822695035459,0.0,-9.31854118426205,0.6542826806999832,6.708271597875287,2.692799472364651,0.7183028136482678,2.60072361672875,-18.467432950191572,0.6037087420347965,14.285714285714285,-40.0,0.5856156227673256,46.42857142857143,-48.10126582278482,0.4578857544423252,50.0
min_component_nodes=6,graph.min_component_nodes,6,degree,10,150,2203.16,28.077548520152614,278.74666666666667,-2.814814814814815,0.6524822695035459,0.0,-8.745195639779766,0.6646422854434196,5.733425584007767,2.5257790721921896,0.7256304232300261,2.439782436153243,-17.95774647887324,0.6014275666241176,11.11111111111111,-43.346007604562736,0.5875343721356555,50.0,-48.10126582278482,0.4578857544423252,50.0
min_component_nodes=10,graph.min_component_nodes,10,t10,0,150,2202.4133333333334,28.077548520152614,278.74666666666667,-4.888888888888889,0.5170068027210886,0.0,-13.008830470482115,0.5877222054782927,9.966387781546764,3.373402270794226,0.6940330797952096,2.8397424630674877,-42.951991828396324,0.265652727773175,41.66666666666667,-55.8599695585997,0.33924005994886713,58.57142857142856,-48.10126582278482,0.45788575444232515,50.0
min_component_nodes=10,graph.min_component_nodes,10,degree,0,150,2202.4133333333334,28.077548520152614,278.74666666666667,-4.888888888888889,0.5170068027210886,0.0,-13.008830470482115,0.5877222054782927,9.966387781546764,3.3734022707942266,0.6940330797952098,2.8397424630674957,-46.27170582226762,0.23320719874885562,45.8041958041958,-68.34094368340944,0.25617251002699276,71.42857142857143,-48.10126582278482,0.45788575444232515,50.0
min_component_nodes=10,graph.min_component_nodes,10,degree,2,150,2202.4133333333334,28.077548520152614,278.74666666666667,-4.888888888888889,0.5170068027210886,0.0,-12.628936323241014,0.5931564342189662,9.381164298908452,3.2612961395264572,0.6950840195542513,2.834729310397404,-39.190751445086704,0.2875966095695098,36.36363636363637,-62.11293260473588,0.3204087500829444,66.66666666666666,-48.10126582278482,0.45788575444232515,50.0
