dataset,id,format,bytes,decode_descr_s,lossless_mask,external,fg_px,exact_n_components,relerr_n_components,exact_total_length_px,relerr_total_length_px,exact_mean_width_px,relerr_mean_width_px,exact_n_branches,relerr_n_branches,exact_n_junctions,relerr_n_junctions,exact_cycle_rank,relerr_cycle_rank,codec,swc_dup_nodes
ORGANELLE,7261,v7_struct_e0.75,169,0.0010964620159938931,False,False,1297,True,0.0,False,0.0002105217949289106,False,0.006074324242939325,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7261,v7_struct_e3,166,0.0010104980319738388,False,False,1297,True,0.0,False,0.0002105217949289106,False,0.0006565823432282034,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7261,swc,1085,0.0007108820136636496,False,False,1297,True,0.0,False,0.03720768768790728,False,0.0007480796480195421,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7261,swc_gz,504,0.000717335962690413,False,False,1297,True,0.0,False,0.03720768768790728,False,0.0007480796480195421,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7262,mask_zlib,385,0.004830835037864745,True,False,1605,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7262,mask_png,525,0.005118675995618105,True,False,1605,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7262,mask_webp_lossless,338,0.005538912955671549,True,False,1605,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7262,mask_jbig2,261,0.008015815052203834,True,True,1605,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7262,skel_chain,300,0.003924806020222604,False,False,1605,True,0.0,True,0.0,False,0.009643563718344109,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7262,v7_struct_e0.75,185,0.0012846000026911497,False,False,1605,True,0.0,False,0.0009070332818084825,False,0.004275877609581591,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7262,v7_struct_e3,176,0.0012284299591556191,False,False,1605,True,0.0,False,0.0009070332818084825,False,0.0014340734627155383,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7262,swc,1176,0.000865199021063745,False,False,1605,True,0.0,False,0.031184111240922612,False,0.0009093140321758192,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7262,swc_gz,550,0.0008809630526229739,False,False,1605,True,0.0,False,0.031184111240922612,False,0.0009093140321758192,True,0.0,True,0.0,True,0.0,,0.0
