dataset,id,q,bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_components_ref,total_length_px_ref,mean_width_px_ref,n_branches_ref,n_junctions_ref,cycle_rank_ref
UIT,UIT_20_y256x0,20,1212,11,280.82337649086287,6.626455281083995,15,2,0,3,40.798989873223334,6.8980668787210515,3,0,0
UIT,UIT_3_y256x512,1,1344,17,822.4701294725886,7.288224091830054,38,11,1,15,1221.4183976444792,7.613300536061674,46,17,3
UIT,UIT_3_y256x512,5,1623,18,995.1391770309008,7.464550139322411,32,7,0,15,1221.4183976444792,7.613300536061674,46,17,3
UIT,UIT_3_y256x512,10,2124,15,1110.607214462436,7.600470180967437,43,15,2,15,1221.4183976444792,7.613300536061674,46,17,3
UIT,UIT_3_y256x512,20,3330,13,1066.8792924010784,7.701870943088188,37,13,2,15,1221.4183976444792,7.613300536061674,46,17,3
UIT,UIT_33_y512x512,1,1173,5,305.19595949289334,7.7470423601191705,17,7,3,10,674.6417023478423,9.078316894134238,24,9,5
UIT,UIT_33_y512x512,5,1256,7,327.2081528017131,9.578645693283331,14,5,3,10,674.6417023478423,9.078316894134238,24,9,5
UIT,UIT_33_y512x512,10,1413,7,460.84776310850236,9.226505187046179,22,9,3,10,674.6417023478423,9.078316894134238,24,9,5
UIT,UIT_33_y512x512,20,1745,7,466.19090885901005,9.738997531491329,16,6,4,10,674.6417023478423,9.078316894134238,24,9,5
HUMAN,HUMAN_2b_y256x768,1,1138,4,132.15432893255073,6.553718361547358,6,1,0,6,149.4386001800126,4.55754084991069,8,1,1
HUMAN,HUMAN_2b_y256x768,5,1167,3,215.7523086789974,7.99549332086405,14,6,2,6,149.4386001800126,4.55754084991069,8,1,1
HUMAN,HUMAN_2b_y256x768,10,1248,2,300.86500705120545,8.75561479050032,12,6,2,6,149.4386001800126,4.55754084991069,8,1,1
HUMAN,HUMAN_2b_y256x768,20,1390,3,296.7645019878171,9.11233754511436,10,4,1,6,149.4386001800126,4.55754084991069,8,1,1
HUMAN,HUMAN_3b_y256x768,1,1113,2,73.698484809835,8.726486982960107,4,1,0,5,130.63961030678928,5.167071130867378,6,1,1
HUMAN,HUMAN_3b_y256x768,5,1128,1,65.35533905932739,8.886921108249485,3,1,0,5,130.63961030678928,5.167071130867378,6,1,1
HUMAN,HUMAN_3b_y256x768,10,1181,7,174.8111831820431,7.841428168818238,9,1,0,5,130.63961030678928,5.167071130867378,6,1,1
HUMAN,HUMAN_3b_y256x768,20,1267,4,126.42640687119287,8.578104526253513,4,0,0,5,130.63961030678928,5.167071130867378,6,1,1
CBMI,CBMI_002t1_h128_w128,1,1250,8,604.3158005400376,7.687169068899868,22,8,2,11,564.9554108468269,8.595691828603616,17,3,0
CBMI,CBMI_002t1_h128_w128,5,1398,11,744.7249634685272,8.642737505095296,23,7,2,11,564.9554108468269,8.595691828603616,17,3,0
CBMI,CBMI_002t1_h128_w128,10,1636,11,707.624458405139,8.499427759941922,21,5,0,11,564.9554108468269,8.595691828603616,17,3,0
CBMI,CBMI_002t1_h128_w128,20,2361,10,729.2102448427659,8.09428783565427,23,8,3,11,564.9554108468269,8.595691828603616,17,3,0
CBMI,CBMI_Captured_CSU488_1_h640_w384,1,1257,13,411.936074863071,6.141607870978846,23,5,0,18,985.796031280393,4.873411996693877,133,65,26
CBMI,CBMI_Captured_CSU488_1_h640_w384,5,1452,17,743.8721497261419,6.9016957390688844,39,12,3,18,985.796031280393,4.873411996693877,133,65,26
CBMI,CBMI_Captured_CSU488_1_h640_w384,10,1826,16,662.6000717874997,6.1235677290259956,35,11,3,18,985.796031280393,4.873411996693877,133,65,26
CBMI,CBMI_Captured_CSU488_1_h640_w384,20,3470,12,505.1614716074871,6.281412377563892,23,6,1,18,985.796031280393,4.873411996693877,133,65,26
CBMI,CBMI_Captured_CSU488_4_h896_w128,1,1216,10,329.4507934888324,5.622999158643056,17,4,1,13,578.5706345359769,4.219379173740424,29,11,9
CBMI,CBMI_Captured_CSU488_4_h896_w128,5,1521,6,142.61017305526642,5.459909995474496,6,0,0,13,578.5706345359769,4.219379173740424,29,11,9
CBMI,CBMI_Captured_CSU488_4_h896_w128,10,3344,10,382.78888860545646,5.940486225090898,11,1,1,13,578.5706345359769,4.219379173740424,29,11,9
CBMI,CBMI_Captured_CSU488_4_h896_w128,20,6979,8,405.68838354206815,6.348645634663968,9,1,1,13,578.5706345359769,4.219379173740424,29,11,9
CBMI,CBMI_cell10_1_h141_w145,1,1304,11,1219.0924958366747,7.515465447420171,49,22,9,10,889.8082245892126,7.129321580152843,24,8,3
CBMI,CBMI_cell10_1_h141_w145,5,1494,12,1220.9036790187179,7.880992777782755,51,22,5,10,889.8082245892126,7.129321580152843,24,8,3
CBMI,CBMI_cell10_1_h141_w145,10,1815,5,1050.477272147525,7.526546529469215,35,17,4,10,889.8082245892126,7.129321580152843,24,8,3
CBMI,CBMI_cell10_1_h141_w145,20,2303,6,1035.9625535217635,7.416301147271061,31,14,4,10,889.8082245892126,7.129321580152843,24,8,3
CBMI,CBMI_mito1_12_h896_w384,1,1384,22,562.8843430349616,6.2405961717130145,30,4,1,19,1909.8195513462551,4.718855597822721,67,25,3
CBMI,CBMI_mito1_12_h896_w384,5,1723,18,1293.3788591251894,6.667818716636697,43,13,1,19,1909.8195513462551,4.718855597822721,67,25,3
CBMI,CBMI_mito1_12_h896_w384,10,2221,20,1431.4154390516487,6.347540907069499,47,14,2,19,1909.8195513462551,4.718855597822721,67,25,3
CBMI,CBMI_mito1_12_h896_w384,20,2914,18,1559.4398256692882,6.17765963045279,53,18,1,19,1909.8195513462551,4.718855597822721,67,25,3
CBMI,CBMI_mito5_h750_w500,1,1393,24,1045.607214462436,7.060655381690217,53,15,2,37,1483.2367235014588,4.51357585878812,85,26,5
CBMI,CBMI_mito5_h750_w500,5,1790,19,1128.9036790187179,6.843260380354275,61,23,4,37,1483.2367235014588,4.51357585878812,85,26,5
CBMI,CBMI_mito5_h750_w500,10,2373,26,1248.3006486383879,6.624217412534899,60,19,4,37,1483.2367235014588,4.51357585878812,85,26,5
CBMI,CBMI_mito5_h750_w500,20,3204,25,1710.2611101190982,6.488900395426694,84,32,6,37,1483.2367235014588,4.51357585878812,85,26,5
