dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_12,UIT_12_y256x0,REF,auto,,587,17,974.3645737753169,6.432071034252192,33,9,2,15,59,0,1.0
UIT,UIT_12,UIT_12_y256x0,SEG,5,,587,17,921.7077195258242,6.842419268146405,33,9,2,15,45,0,0.9473684210526316
UIT,UIT_12,UIT_12_y256x0,SEG,auto,,587,15,886.3229432149742,6.853442153090005,27,7,2,15,45,0,0.8750000000000001
UIT,UIT_12,UIT_12_y256x0,GRAPH7,5,6740.0,587,17,922.0,6.82587903630003,33,9,2,15,45,0,0.9473684210526316
UIT,UIT_12,UIT_12_y256x0,GRAPH7,auto,6740.0,587,15,886.5,6.8382024180860395,27,7,2,15,45,0,0.8750000000000001
UIT,UIT_12,UIT_12_y256x0,JPEG,5,6675.0,587,17,929.7787873376898,6.69566826950715,33,9,2,14,44,0,0.8421052631578948
UIT,UIT_12,UIT_12_y256x0,JPEG,auto,6675.0,587,15,903.2224381515858,6.697378065015138,27,7,2,14,44,0,0.8750000000000001
UIT,UIT_12,UIT_12_y256x256,REF,5,,1174,27,1953.9667376038697,6.803694852866985,92,35,6,42,84,0,1.0
UIT,UIT_12,UIT_12_y256x256,REF,auto,,1174,18,1899.4103884177657,6.8553612763736345,79,33,6,42,84,0,1.0
UIT,UIT_12,UIT_12_y256x256,SEG,5,,1174,21,1987.765727477093,7.3323531674634275,86,35,5,40,72,0,0.8571428571428571
UIT,UIT_12,UIT_12_y256x256,SEG,auto,,1174,20,1958.6235918533616,7.336101200154078,81,33,5,40,72,0,0.8484848484848486
UIT,UIT_12,UIT_12_y256x256,GRAPH7,5,13153.0,1174,21,1989.25,7.333901861819036,86,35,5,40,72,0,0.8571428571428571
UIT,UIT_12,UIT_12_y256x256,GRAPH7,auto,13153.0,1174,20,1960.25,7.337034208322446,81,33,5,40,72,0,0.8484848484848486
UIT,UIT_12,UIT_12_y256x256,JPEG,5,12753.0,1174,21,1989.4520189781083,7.351321863491558,88,36,5,43,75,0,0.8169014084507044
